,AÑO,CONSECUTIO,INSCRIPCION,LOCALIDAD,TIPO,COD TIPO,NOMBRE,General,Nutrición y Salubridad,Ambientes Adecuados y Seguros,Proceso Pedagógico,Talento Humano,Proceso Administrativo,Segmento
12636,2019,903,Q575,USAQUEN,PRIVADO,,JARDÍN INFANTIL INFANTIL HOUSE BABY,0.309838095,0.44969697,0.393015873,0.078947368,0.266666667,0.271428571,Bajo
12637,2019,904,421,KENNEDY,PRIVADO,PRI,CENTRO PEDAGÓGICO INICIAL CENPI,0.937433333,0.886060606,0.875,1,1,1,Alto
12638,2019,905,1173,CHAPINERO,PRIVADO,PRI,ABRAKADABRA,0.711333333,0.486060606,0.9,0.58245614,0.788888889,0.752857143,Bajo
12639,2019,906,1546,TEUSAQUILLO,PRIVADO,PRI,JARDIN INFANTIL THOMASITO,0.863028231,0.937142857,0.887244898,0.596491228,0.958333333,0.954285714,Alto
12640,2019,907,2001,TEUSAQUILLO,PRIVADO,PRI,UNIVERSO MAGICO,0.387928231,0.327012987,0.380895692,0.368421053,0.486111111,0.42,Bajo
12641,2019,908,15924,USAQUEN,PRIVADO,PRI,JARDÍN INFANTIL BILINGÜE MI CASITA DE ESTUDIOS,0.74837619,0.862857143,0.475,0.866666667,0.849206349,0.885714286,Alto
12642,2019,909,16455,USAQUEN,PRIVADO,PRI,CISI CENTRO INTERACTIVO DE SENSIBILIZACIÓN,0.52896087,0.434242424,0.496980676,0.684210526,0.588888889,0.471428571,Bajo
12643,2019,910,19377,SUBA,PRIVADO,PRI,ADVENIO MORATO,0.574259524,0.590649351,0.529444444,0.58245614,0.602777778,0.602857143,Bajo
12644,2019,911,645,USME,PUBLICO,JSDIS,JARDIN INFANTIL SERRANIAS,0.871070497,0.767099567,0.826449275,1,0.871825397,0.954285714,Alto
12645,2019,912,654,USME,PUBLICO,JSDIS,AMIGUITOS DEL VALLE DE CAFAM,0.863840131,0.876363636,0.749456522,0.971929825,0.852910053,0.954285714,Alto
12646,2019,913,822,USAQUEN,PRIVADO,PRI,JARDÍN EMMANUEL,0.60879773,0.798787879,0.425603544,0.631578947,0.763888889,0.505714286,Bajo
12647,2019,914,1910,USAQUEN,PRIVADO,PRI,JARDÍN INFANTIL RAYITAS Y COLORES,0.610635714,0.631515152,0.445396825,0.831578947,0.813888889,0.414285714,Bajo
12648,2019,915,2286,USAQUEN,PRIVADO,PRI,ANGLO HISPANO PREESCOLAR BILINGÜE,0.730554065,0.867272727,0.48001355,0.866666667,0.847222222,0.742857143,Alto
12649,2019,916,3689,CIUDAD BOLIVAR,PRIVADO,PRI,MUNDO INTERACTIVO,0.554561989,0.7404329,0.560053191,0.442105263,0.491005291,0.471428571,Bajo
12650,2019,917,16893,KENNEDY,PRIVADO,PRI,GIMNASIO CRISTIANO LEÓN DE JUDÁ,0.388812209,0.686233766,0.382358156,0.021052632,0.322222222,0.505714286,Bajo
12651,2019,918,18667,BOSA,PRIVADO,PRI,JARDIN INFANTIL NICOLS BS,0.854028571,0.965909091,0.944047619,0.564912281,0.849206349,0.882857143,Alto
12652,2019,919,19193,CIUDAD BOLIVAR,PRIVADO,PRI,CRISTIANO ELOHIM,0.491464344,0.478181818,0.56300813,0.368421053,0.565079365,0.447142857,Bajo
12653,2019,920,19622,BOSA,PRIVADO,PRI,JARDIN INFANTIL HUELLITAS DE MARIA MONTESSORI,0.441220635,0.335064935,0.833465608,0.042105263,0.311111111,0.448571429,Medio
12654,2019,921,19892,KENNEDY,PRIVADO,PRI,MY EXPLORERS KINDERGARTEN,0.91507619,0.876363636,0.827777778,1,0.980952381,0.977142857,Alto
12655,2019,922,451,USME,PUBLICO,JSDIS,JARDIN INFANTIL CASA LOMA,0.840046617,0.74995671,0.844298246,0.880701754,0.805555556,0.954285714,Alto
12656,2019,923,776,USME,PUBLICO,JSDIS,JARDIN INFANTIL BETANIA,0.931727305,0.890909091,0.920035461,1,0.886111111,0.977142857,Alto
12657,2019,924,15109,SUBA,PRIVADO,PRI,SWETLAND KINDERGARTEN GILMAR,0.627265646,0.644329004,0.550663265,0.8,0.571428571,0.59,Bajo
12658,2019,925,15213,KENNEDY,PRIVADO,PRI,JARDÍN INFANTIL HOWARD GARDNER,0.665089744,0.75030303,0.48474359,0.880701754,0.744444444,0.54,Bajo
12659,2019,926,15400,SUBA,PRIVADO,PRI,JARDIN INFANTIL LIS AMIGUITOS DE FRANKLIN,0.6571,0.810909091,0.601666667,0.452631579,0.7,0.765714286,Bajo
12660,2019,927,15582,USAQUEN,PRIVADO,PRI,JARDÍN INFANTIL CASITA DE TOTO SEMILLERO,0.582052381,0.502510823,0.53234127,0.638596491,0.563095238,0.757142857,Bajo
12661,2019,928,15589,USME,PRIVADO,PRI,CENTRO DE DESARROLLO INFANTIL MUNDO KIDS,0.41791295,0.361969697,0.584543167,0.421052632,0.219444444,0.357142857,Bajo
12662,2019,929,19287,KENNEDY,PRIVADO,PRI,LE JARDÍN ENCHANTE,0.404460892,0.471688312,0.389837893,0.350877193,0.34047619,0.471428571,Bajo
12663,2019,930,1334,CHAPINERO,PRIVADO,PRI,PROYECTO WINNIE,0.853784314,0.750151515,0.822058824,0.81754386,1,0.977142857,Alto
12664,2019,931,2003,USAQUEN,PRIVADO,PRI,UNIVERSO MÁGICO CENTRO DE DESARROLLO INFANTIL,0.562072999,0.736450216,0.480775076,0.526315789,0.598809524,0.471428571,Bajo
12665,2019,932,14640,ENGATIVA,PRIVADO,PRI,JARDIN INFANTIL EL BOSQUE DE LOS CIEN ACRES,0.358657143,0.452121212,0.584920635,0,0.304761905,0.271428571,Medio
